date,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2018-01-29,-100,-100,13.4,-100,-100,22.6,-100,28.65,4.8,17.15,-100,-100,-100,-100,6.1,1.6,-100,2.8,-100,-100,-100,-100,-100,-100
2018-01-31,-100,-100,12.9,-100,-100,23.7,-100,28.4,5.1,15.9,-100,-100,-100,-100,6.0,2.0,1.0,2.3,1.1,-100,-100,-100,-100,-100
2018-02-01,-100,-100,13.12,-100,-100,23.78,-100,27.439999999999998,4.62,16.32,-100,-100,-100,-100,6.220000000000001,1.98,1.12,2.42,0.8500000000000001,-100,-100,-100,-100,-100
2018-02-02,-100,-100,13.65,-100,-100,23.1,-100,26.5,4.75,15.85,-100,-100,-100,-100,5.3,1.75,1.2,1.85,1.1,-100,-100,-100,-100,-100
2018-02-04,-100,-100,13.3,-100,-100,23.5,-100,27.65,4.5,16.450000000000003,-100,-100,-100,-100,5.550000000000001,1.5499999999999998,0.9,2.2,1.3,-100,-100,-100,-100,-100
2018-02-05,-100,-100,14.0,-100,-100,25.0,-100,27.0,5.0,16.0,-100,-100,-100,-100,6.5,3.0,1.0,2.5,0.5,-100,-100,-100,-100,-100
2018-02-07,-100,-100,12.149999999999999,-100,-100,22.1,-100,28.15,4.85,17.8,-100,-100,-100,-100,6.1,2.3,0.8,2.45,0.7,-100,-100,-100,-100,-100
2018-02-08,-100,-100,14.120000000000001,-100,-100,22.78,-100,27.7,4.92,15.6,-100,-100,-100,-100,5.86,2.1999999999999997,1.1500000000000001,2.35,0.9750000000000001,-100,-100,-100,-100,-100
2018-02-11,-100,-100,13.100000000000001,-100,-100,23.200000000000003,-100,27.450000000000003,4.6,17.0,-100,-100,-100,-100,5.1,1.65,1.2000000000000002,2.0,1.25,-100,-100,-100,-100,-100
2018-02-12,-100,-100,14.3,-100,-100,23.4,-100,26.15,4.35,16.9,-100,-100,-100,-100,5.35,1.95,0.85,2.35,0.95,-100,-100,-100,-100,-100
2018-02-13,-100,-100,12.8,-100,-100,21.8,-100,28.3,5.0,18.3,-100,-100,-100,-100,5.3,2.6,-100,2.9,-100,-100,-100,-100,-100,-100
