date,size,firm,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2008-02-19,NA,Demoskopea,NA,2.0,4.5,7.0,NA,32.5,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-19,NA,IPR,NA,3.5,6.5,7.5,3.0,31.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-20,NA,EURISKO,NA,3.4,4.5,7.0,1.0,35.6,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-22,NA,Euromedia,NA,3.5,5.6,5.0,1.2,32.9,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-24,NA,Digis,NA,3.9,4.8,7.2,1.5,34.4,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-25,NA,IPSOS,NA,4.0,5.5,6.0,1.0,34.5,39.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-26,NA,Demoskopea,NA,2.0,4.0,7.0,2.0,34.5,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-27,NA,Demopolis,NA,3.5,5.0,6.0,2.0,33.5,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-27,NA,Dinamiche,NA,3.5,5.5,5.5,2.0,33.0,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-29,NA,IPR,NA,4.0,4.5,7.0,2.5,32.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,NA,Digis,NA,3.4,4.6,6.9,1.3,34.5,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,NA,Euromedia,NA,3.0,5.0,5.7,2.2,32.4,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-02,NA,ISPO,NA,3.0,5.5,6.5,2.5,34.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-03,NA,IPSOS,NA,4.1,5.3,6.3,1.8,33.7,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-04,NA,Demoskopea,NA,2.5,4.0,7.5,2.0,33.5,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-06,NA,IPR,NA,4.0,4.5,7.0,2.0,32.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-09,NA,Digis,NA,3.3,4.6,7.0,1.5,33.4,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-10,NA,Demos,NA,4.5,5.5,6.0,1.9,34.0,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-10,NA,IPSOS,NA,4.5,5.1,6.0,2.1,33.3,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-10,NA,ISPO,NA,3.0,4.5,5.5,3.5,33.5,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-11,NA,Demoskopea,NA,2.5,4.0,7.0,2.5,33.5,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-12,NA,Demopolis,NA,3.5,5.0,6.5,2.5,33.5,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-15,NA,IPR,NA,3.5,4.5,6.5,2.5,33.0,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-16,NA,Digis,NA,3.7,4.1,6.9,1.6,34.5,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-16,NA,IPSOS,NA,3.0,5.5,6.5,2.5,35.0,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-17,NA,Dinamiche,NA,3.7,5.6,6.1,2.0,33.2,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-18,NA,Demoskopea,NA,2.5,5.0,6.0,2.5,34.5,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-21,NA,Digis,NA,3.4,4.1,6.0,1.7,35.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-21,NA,ISPO,NA,3.5,4.5,5.5,1.5,35.0,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-23,NA,IPSOS,NA,4.4,4.9,6.0,2.1,33.9,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-25,NA,Demoskopea,NA,2.5,5.5,6.0,2.0,35.0,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-26,NA,Demos,NA,4.3,5.9,5.8,NA,34.8,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-27,NA,Demopolis,NA,3.0,4.5,6.0,2.5,35.0,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-27,NA,Digis,NA,3.6,4.1,6.5,1.8,35.0,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-07-31,NA,Euromedia,NA,4.3,9.0,4.5,1.5,29.1,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-01,NA,CRESPI,NA,8.0,9.0,4.0,2.0,28.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-02,NA,CONSORTIUM,NA,6.0,9.0,4.5,1.5,31.5,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-04,NA,Dinamiche,NA,8.2,9.1,5.6,1.9,28.7,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-06,NA,Euromedia,NA,4.5,9.0,4.7,1.6,28.1,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-15,NA,CONSORTIUM,NA,5.5,9.0,5.0,1.5,32.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-20,NA,Digis,NA,7.8,9.5,4.7,1.9,28.0,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-22,NA,CONSORTIUM,NA,5.5,9.0,5.0,1.5,32.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-28,NA,Digis,NA,7.7,9.3,4.9,1.8,28.2,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-29,NA,CONSORTIUM,NA,6.0,9.0,5.0,NA,31.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-06,NA,CONSORTIUM,NA,5.0,8.5,5.0,1.5,32.0,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-07,NA,Digis,NA,7.2,9.2,5.2,2.2,29.0,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-08,NA,Dinamiche,NA,9.1,9.0,5.1,1.6,28.2,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-12,NA,Euromedia,NA,5.4,9.4,4.0,1.2,28.8,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-13,NA,CONSORTIUM,NA,5.0,9.0,5.0,1.5,32.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-20,NA,CONSORTIUM,NA,5.5,8.5,5.0,1.0,33.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-21,NA,Euromedia,NA,5.7,9.5,3.8,1.4,29.8,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-27,NA,CONSORTIUM,NA,5.0,9.0,5.0,1.0,32.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-03,NA,CONSORTIUM,NA,5.5,8.0,4.5,NA,31.25,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-10,NA,CONSORTIUM,NA,4.5,9.0,4.5,1.5,34.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-17,NA,CONSORTIUM,NA,5.0,9.5,4.5,1.5,34.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-24,NA,CONSORTIUM,NA,5.0,9.5,4.5,1.5,34.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-01,NA,CONSORTIUM,NA,5.0,9.5,4.5,1.0,34.0,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-04,NA,IPR,NA,7.8,7.5,4.0,1.5,28.0,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-07,NA,CONSORTIUM,NA,5.0,9.5,4.5,1.0,33.5,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-12,NA,IPSOS,NA,9.8,10.2,6.1,NA,27.1,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-18,NA,Demos,NA,9.3,9.7,5.6,NA,27.5,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-19,NA,CRESPI,NA,7.5,11.5,5.0,2.0,27.5,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-04,NA,CONSORTIUM,NA,6.5,9.5,6.0,1.5,29.5,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-08,NA,SWG,NA,8.5,8.5,4.5,2.0,24.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-12,NA,IPSOS,NA,9.5,11.2,6.0,1.0,25.0,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-20,NA,CRESPI,NA,8.0,10.0,6.2,2.0,21.8,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
